Gloss,Korlai,Daman,Diu,Sri Lanka PT,Kannur,Malacca,Macau,Tugu/Batavia,Santiago CV,Santo Antão CV,SãoVicente CV,Fogo CV,Brava CV,Santome,Fá d'Ambô,Principense,Angolar,Guinea Bissau,Casamancese,Papiamento,Palenquero,Cavite Chabacano,Ternate Chabacano,Zamboanga Chabacano,Karipuna,Louisiana,Guianese,Haitian,Mauritian,Guadeloupean,Martinican,Saint Lucian,Réunionese,Seychellois
big,gɾan,gɾan,gɾan,gɾaandi,gɾandi,grandi,gɾa̜ndi,gɾandi,gɾɐ̃di,gɾãŋd,gɾãd,gɾãdi,gɾãdi,godo,ŋaandʒi,gani,ŋaj,gaɾandɪ,gaɾandi,gɾandi,ngande,gɾandi,gɾandi,gɾandi,gho,gɾã,gʁã,gɣã,gɣã,gɣã,gɣã,gwo,gʀo,gɣã
bird,pas,pasaɾiɲ,pasaɾiŋ,paastɾu,pastɾə,pastu,pastɾu,pastəɾ,pasu,pɔs,pɔs,pasu,pasu,bisudaza,paatu,pasu,situ,pastru,pastur,paɾa,pahaɾo,paharu,paharu,paharu,zozo,zwazo,zozo,zwezo,zozo,zwezo,zwezo,ʒibje,zwazo,zozo
bite,muɾde,muɾde,muɾde,muɾda,muɾdɛ,mudre,katʃi,moɾdi,moɾdi,moɾde,moɾde,moɾde,moɾde,mode,mũda,mode,mode,murdɪ,moɾde,moɾde,tʃikote,muldi,moɾde,muɻde,mɔde,mɔɾd,mode,mɔde,moɣde,mɔd,mode,mɔde,mɔɔde,mɔɔd
black,pɾet,pɾet,pɾet,pɾɛɛtu,pɾetə,pretu,pɾetu,pɾetu,pɾɛtu,pɾet,pɾet,pɾetu,pɾetu,plɛtu,pɛɛtu,pɛɛtu,pɛɛtu,pɾɛtu,pretu,pɾetu,pɾjeto,negɾu,pɾjetu,negɾu,nwɛ,nwaɾ,nwɛ,nwa,nwaɣ,nwɛ,nwɛ,nwɛ,nwaa,nwaa
blood,sajŋ,sajŋ,saŋ,saangi,sangi,saŋgi,sangui,saŋgi,sɐ̃gi,sẽŋg,sãg,sãgi,sãgi,sɐ̃gi,sɐ̃gi,sɐ̃gɪ,θɐ̃gɪ,sangui,,saŋəɾ,pola,saŋgɾi,saŋgɾi,saŋgɾi,dʒisã,sã,disã,sã,disã,sã,sã,sã,sã,ɟisã
blow,supɾa,supɾa,asupɾa,sufɾaa,supɾa,sufra,supɾa̹,supɾa,sɔpɾɐ,sopɾa,sopɾa,sopɾɐ,sopɾɐ,sɔpla,fofo,sɔpa,θɔpa,supra,supra,supla,bahja,,supla,supla,sufle,sufle,sufle,sufle,sufle,sufle,sufle,sufle,,sufle
bone,os,os,os,oosu,osə,osu,,osu,osu,os,os,osu,osu,ɔsɔ,ɔsɔ,ɔsu,ɔsɔ,ɔs,wos,wesu,gweso,wesu,wesu,wesu,zo,dezo,,zo,lezo,zo,zo,zo,zo,lezo
breast,pejt,pet,pet,peetu,petə,petu,,mama,petu,,,mamɐ,,petu,,pɛna,,pitu,pitu,petʃu,teta,petʃu,petʃu,petʃu,pothin,sɛ̃,potʁin,,tete,tete,tete,tete,tete,tete
breathe,suskaɾtuma,ɾeʃpɾa,,,,pusabafu,,,da folgu,,,,,,,,,rɨʃpiɾɐ,,ɾespiɾa,,ɾisulja,risulja,,,ɾɛspiɾe,,sufle,ɣespiɣe,ɣespiɣe,ɣespiɣe,wespiwe,,ɣespiɣe
burn,kima,kima,kima,kimaa,kima,kema,kima̹,kima,kemɐ,psi,kema,kemɐ,kemɐ,kɛma,kama,kɛma,kɛma,kɛmɐ,,kima,kema,kima,kema,kima,bule,bɾule,bule,bule,bɣile,bɣile,bɣile,bwile,bʀile,bɣile
child,kɾijãs,kɾijãs,kɾiãs,kɾijansa,kɾijansə,krensa,kjansa,filu,mininu,mnin,mnin,mininu,mininu,ɐ̃zu,ɐ̃nzu,ɐ̃zu,ɐ̃ðu,mininu,aɲɟu,mutʃa,mona,kɾatuɾa,kɾijatuɾa,anak,tʃimun,piti,piti,timun,zãfã,cimamaj,cimãmaj,mãmaj,zãfã,pici
cloud,ɖʰəg,nuʋ,nuʋ,nooʋis,mekham,nubis,,nuves,nɛbwɐ,neva,nuvẽ,nuvi,nubẽ,novi,novi,novi,mbɔsi,nuvẽ,nubis,nubia,nube,nubi,ulan,,nwaʒ,nuaʒ,nijaʒ,nwaʒ,ɲaz,nijaʒ,nijaʒ,nwaʒ,njaz,njaz
cold,fɾiw,fɾi,fɾi,fɾiiju,fɾiw,friw,fɾiw,fɾiw,fɾiw,fɾi,fɾiw,fɾiw,fɾiw,fjo,fiu,fjo,fio,fɾiw,fɾiw,fɾiw,fɾio,pɾiju,pɾiju,pɾiw,fwɛ,fɾe,fʁɛ,fwɛt,fɣe,fwɛt,fwɛt,fwɛt,fʀe,fɣe
come,ʋi,ʋi,ʋi,ʋii,ʋi,beŋ,veŋ,bi,bẽ,ben,bẽ,bẽ,bẽ,bi,bi,vika,bi,bĩŋ,beŋ,bini,mini,beni,bini,liga,vin,vini,vini,vin,vini,vini,vini,vini,vnii,vini
correct,dɾɛtuɾ,dɾet,dɾet,dɾetu,,retu,ʒustu,dɾetu,sɛɾtu,dɾet,dɾetu,dɾetu,dɾetu,sɛtu,,,,sɛɾtu,,koɾekto,,hustu,tupaw,hustu,ʒis,koɾɛk,ʒist,ɣezõ,ɣezõ,koɣɛk,koɣek,kɔwek,,koɣek
count,kota,konta,kõta,kontaa,konte,konta,konta̹,,kõtɐ,kõnta,kõta,kõta,kõta,kõta,xɔ̃ta,kõta,kɔ̃ta,kontɐ,konte,konta,ngwenda,kunta,konta,kunta,kõnt,kõte,kõnte,kõte,kõte,kɔ̃te,kɔ̃te,kɔ̃te,,kɔ̃te
cut,koɾta,koɾta,koɾta,koɾtaa,kɔɾta,korta,koɾta̜,ɾapa,koɾtɐ,koɾta,koɾta,koɾta,koɾta,kɔta,kuuta,kɔta,kɔta,kɔrtɐ,korta,kɔɾta,kotta,kulta,koɾta,kuɻta,kupe,kupe,kupe,kupe,kupe,kupe,kupe,kupe,,kupe
day,di,di,di,diija,dijə,dia,dja,dia,diɐ,diɐ,diɐ,dia,dia,dʒa,dʒja,dja,dja,diɐ,diɟa,dia,ɾia,dia,dija,dia,ʒu,ʒuɾ,ʒu,ʒu,lizuɣ,laʒunɛ̃,laʒunɛ̃,ʒu,zuuʀ,lizuu
die,mhuɾe,mata,muɾe,muɾa,muʀe,mure,more,moɾe,mɔɾi,mʀe,moʀe,moɾe,moɾe,mole,mole,mwe,mwe,murɪ,more,muɾi,moɾi,muɾi,muɾi,muɾi,muhi,muɾi,muʁi,muɣi,moɣ,mɔ,mɔ,mɔ,mɔɔ,mɔɔ
dig,kaʋa,kaʋa,fazebuɾak,kindee,gəʋətə,kore,,gabuɾta,kɔbɐ,kɐva,kava,koba,koba,kɔbɔ,gɔlɔ,kava,vina,kɔbɐ,koba,koba,kuba,aseukaj,asepala,,fuje,fuje,fuje,fuje,fuje,fuje,fuje,fuje,,fuje
dirty,sudʒ,sudʒ,sudʒ,sudʒo,sudʒi,suzu,suzu,sudʒu,ʃuʃu,ʃuʃ,ʃuʒ,suʒu,suʒu,suzu,sũzu,suzu,θuðu,susu,susu,suʃi,susjo,susju,susju,masusju,sal,sal,sal,sal,sal,sal,sal,sal,,sal
dog,kãw,kãw,kãw,katʃoɾu,katʃoɾ,katʃoru,katʃo̹ɾu,katʃoɾ,kɐtʃɔɾ,kotʃoɾ,kɐtʃɔʀ,katʃo,katʃoɾ,kaso,xasooloo,kaso,kaθo,kɐtʃoɾ,kacor,katʃo,pelo,peru,pehru,peʰru,ʃɛ̃,ʃjẽ,ʃjẽ,ʃẽ,lisjẽ,ʃjɛ̃,ʃjɛ̃,ʃjɛ̃,sjɛ̃,lisjɛ̃
drink,bebe,bebe,bebe,beʋa,bebe,bebe,bebe,bebi,bebi,bebe,bibe,bebe,bebe,bebe,bɛɛbɛɛ,bebe,bebe,bibidɐ,bebe,bebe,bebe,tuma,bebe,tuma,bwɛ,bwa,bwɛ,bwɛ,bwaɣ,bwɛ,bwɛ,bwɛ,bwaa,bwaa
dry,sek,sek,sek,sɛɛku,sækə,seku,seku,seku,sɛku,sɛk,sek,sɛku,seku,seku,seku,seku,θɛku,sɛku,seku,seku,,seku,seku,seku,sɛk,sɛk,sɛk,ʃɛʃ,sek,sɛk,sɛk,sɛk,sɛk,sek
dull,bʰoʈəl,buntu,,bɾɔm,agudənutɛ̃,,,,sɛgu,sɛg,sɛg,sɛgu,sɛgu,,,,,,,bɔt,,noagudo,pulpul,dumpul,hõ,bɾeʃe,,pafile,pakupbjẽ,,,pafile,,
dust,ɾʰen,pujẽɾ,,pɔ,baɾə,po,,po,pɔ,po,pɔ,pweɾɐ,pweɾɐ,ɔpɔ,ɔpɔ,ɔpɔ,ɔ̃pɔ,puɛɾɐ,,stɔf,,polbos,alikabok,polbus,lapusje,pud,lapusjɛ,pusiɛ,lapusjeɣ,pusjɛ,pusjɛ,lapusie,pud,lapusjɛɛ
ear,oʋid,oɾeʎ,uʋid,oɾeeja,uʋid,ubida,oɾeʎa,oɾela,oɾɛdʒɐ,oɾeɐ,oɾeɐ,oɾidʒɐ,oɾedʒɐ,ɔʎa,ɔlɛa,urja,ɔlja,oredʒɐ,woreɟa,oɾea,oleha,uɾehas,uɾehas,uɾehas,zohɛ,zɔɾɛj,zɔʁɛj,zoɣɛj,zoɣej,zoɣɛj,zoɣɛj,zɔwɛj,zɔʀɛj,zoɣej
earth,tɛɾ,tɛɾ,tɛɾ,tɛɛɾa,baɾə,tera,tɛra,baɾ,tɛɾɐ,tɛʀɐ,tɛʀɐ,tɛɾɐ,tɛɾɐ,tɛlɐ,tɛla,tɛ,tʃja,tʃõ,coŋ,teɾa,tjela,tjera,tjehra,tjeʰra,latɛ,tɛɾ,tɛʁ,latɛ,lateɣ,latɛ,latɛ,latɛ,tɛɛ,latɛɛ
eat,kume,kume,kume,kuma,kumɛ,kumi,kome,komi,kume,kme,kme,kume,kume,kumɛ,kumi,kumɛ,mɛ,kumɛ,kume,kome,kume,kumi,kume,kume,mãʒe,mãʒe,mãʒe,mãʒe,mãze,mãʒe,mãʒe,mãʒe,mãze,mãze
egg,ob,oʋ,oʋ,ooʋ,oʋə,obu,ovu,obu,ɔbu,ov,ov,obu,obu,ɔvu,ɔvu,ɔvu,ɔvu,ovu,wobu,webu,gwebo,webus,webu,webus,dʒize,dezɛf,dize,ze,dizef,ze,ze,ze,zef,ɟizef
eye,ol,oʎ,ojl,ooj,oj,olu,o̹lu,olo,odʒu,oj,oj,odʒu,odʒu,we,we,we,we,udʒu,wuɟu,wowo,oho,ohus,ohus,ohus,wej,zje,wej,ʒe,lizie,zje,zje,zje,zje,lizje
fall,kai,kai,kai,kaj,kaj,kaj,kaj,kaj,kɐi,kej,kei,kai,kai,kje,kae,kje,kje,kaj,kaɟ,kaj,kai,kaj,kaji,kaj,tɔ̃be,tõbe,tõbe,tõbe,tõbe,tɔ̃be,tɔ̃be,tɔ̃be,tõbe,tɔ̃m
far,lɔ̃j,lõj,lõj,lɔɔndʒi,lɔndʒi,lonzi,,londʒi,lõʒi,lõŋʒ,lõʒ,lõʒi,lõʒi,lõdʒi,lõdʒi,lõʒi,lõdʒi,loɲu,loŋɟi,lew,leho,lehus,lehus,lehus,lweŋ,lwẽ,lwẽ,lwẽ,lwẽ,lwɛ̃,lwɛ̃,lwɛ̃,lwɛ̃,lwɛ̃
fat,,goɾduɾ,,guɾduɾa,,godura,goɾdura,goɾdu,guɾduɾɐ,guɾduɾɐ,guɾduɾɐ,goɾduɾɐ,guɾduɾɐ,godo,gɔdula,gudurɐ,godulɐ,guɾduɾɐ,baɲ,sebu,,gɾasa,gɾasa,guɻduɾa,ghɛs,gɾa,ɡʁɛs,ɡɣɛs,lagɣes,gɣa,gɣa,gwɛs,gʀɛs,lagɣes
father,paj,paj,paj,paaj,paj,paj,paj,paj,pɐj,pɛ,paj,paj,paj,papa,papa,papa,tata,pape,papɛ,tata,tata,tata,tata,tata,papa,papa,papa,papa,papa,papa,papa,papa,papa,papa
fear,med,med,,mejdo,,midu,tɛfitɛfi,,medu,mɛd,med,medɐ,medu,mɛ̃du,mɛ̃du,mɛ̃du,mɛ̃du,medu,,tinmiedu,,,asemjedu,,pɛ,pɛɾ,pɛ,pɛ,peɣ,pɛ,pɛ,kwɛ̃t,,pɛɛ
feather,pɛn,pɛn,pɛn,pɛɛna,pænə,pena,pena,kabelupastəɾ,pɛna,pena,penɐ,pɛnɐ,penɐ,pɛnɐ,pɛna,penɐ,penɐ,,,pluma,,pluma,,pluma,plim,plumã,plim,plim,plim,plim,plim,plim,plim,laplim
few,pok,pok,pok,poku,pok,mpoku,,,poku,pok,pok,poku,poku,,,,,poku,mbokadu,poko,poko,poku,poku,poku,tʃimoso,pɛ,timoso,kɛk,pabuku,cibwɛ̃,cibɣɛ̃,pe,ɛ̃pe,pe
fight,luta,luta,,bɾiija,pildʒe,briga,piliza̹,baklaj,bɾigɐ,luta,bɾiga,bɾiga,bɾiga,luta,pɛza,luta,vugu,lutɐ,geɾiɟa,bɾiŋa,pelia,pilja,pelja,piʎa,bhiga,bat,lite,gumẽ,lageɣ,gumɛ̃,gumɛ̃,bat,,bataje
fingernail,,,,uɲa,,uɲa,,uɲa,uɲɐ,,uɲɐ,,,iɲɛ,uɲa,umuɲɐ,iɲɛ,uɲɐ,ɲuɲa,huɲa,,unjas,kunja,,zɔŋ,zõŋg,zɔŋ,,zoŋ,zoŋ,zoŋ,gwif,,gɣif
fire,fog,fog,fog,fooʋ,fogə,fogu,fogu,fogu,fogu,lum,lum,lumi,lumi,fogo,fugã,ufogu,fogo,fugu,fugu,kandela,fogo,pwegu,pwegu,pwegu,dʒife,dife,fe,dife,dife,ɟife,ɟife,dife,fe,ɟife
fish,peʃ,peʃ,peʃ,peesi,peʃi,pesi,pese,,peʃi,peʃ,peʃ,peʃi,peʃi,piʃi,piʃi,peʃi,kikie,pis,pis,piska,pekkaw,peskaw,peskaw,piskaw,pwasõ,pwasõ,posõ,pwesõ,posõ,pwasɔ̃,pwesɔ̃,pwesõ,pwasɔ̃,pwasɔ̃
five,sink,sink,sĩk,siinku,sinkə,siŋku,sinku,siŋku,sĩku,sĩŋk,sĩk,sĩku,sĩku,ʃĩku,ʃĩku,ʃĩku,tano,sĩku,siɲku,sinku,siŋko,siŋku,siŋku,siŋku,sɛ̃ŋk,sẽk,sẽk,sẽk,sẽk,sɛ̃k,sɛ̃k,sɛ̃k,,sɛ̃k
float,taɾtahika,nada,,nada,"
agsuɾibətəʋaj",boja,,,boja,boja,boja,boja,boja,bɔja,bɔja,bɔja,bɔja,,boɟa,dɾif,,,lutaŋ,,flote,flote,flote,flote,flote,flote,flote,flote,,flote
flow,wahunanda,ʋaza,ʋaza,,,kure,,,koɾe,kɾe,koʀe,koɾe,koɾe,koleselele,,,,daɾmɐ,,koɾe,,,,,,kule,kule,kule,kule,kule,kule,kule,kule,kule
flower,ful,floɾ,floɾ,fuula,fula,floris,fula,fula,flɔɾ,floɾ,floɾ,floɾ,floɾ,flɔli,fɔɔl,ufɔli,fɔli,flur,flor,floɾ,flo,ploɾes,ploɾ,ploɾis,butʃe,flɛ,flɛʁ,flɛ,fleɣ,flɛ,flɛ,flɛ,,flɛɛ
fly(v.),awga,agwa,uʋa,awgaa,agwə,abwa,agua̹,aboa,buɐ,vwɐ,vwɐ,bwɐ,bwa,vwa,vwa,vwa,pupuka,boa,buwa,bula,,bula,bula,bula,vole,vole,,vole,ãvole,vole,vole,vole,vole,vole
fog,fumas,oɾvaʎ,uʋa,uɾuʋajja,fog,,,,nɛgwɐ,nevweɾ,nevweɾ,nɛbɐ,nɛbɐ,neblina,,lubina,,sɨɾen,,nebli,,,,,lafime,bɾujaɾ,,bɣuja,bɣujaɣ,bwuja,bwuja,vape,,bɣujaa
foot,pe,pe,pe,pee,pɛ,pew,pe,pew,pɛ,pe,pe,pe,pe,ɔpɛ,ɔpɛ,ɔpɛ,ɔpɛ,pɛ,pe,pija,pje,pjes,pjes,pjes,pje,pje,pje,pje,lipie,pie,pje,pje,pje,lipje
forest,,,,matu,,matu,,matu,matu,mot,,,,obo,ogo,matu,obo,matu,matu,matu,monde,,bondok,monti,dãmbwa,bwa,,,lafoɣe,gɣãbwa,gɣãbwa,lafowe,foʀe,foɣe
four,kwat,kɔt,kwɔt,katɾu,katɾə,kwatu,katɾu,kəteɾ,kwatu,kwat,kwat,kwatu,kwatu,kwatlu,xatulu,kwatu,kwanɐ,kwɐtɾu,kwatur,kwateɾ,kwatɾo,kwatɾu,kwatɾu,,kat,kat,kat,kat,kat,kat,kat,kat,kat,kat
freeze,bəɾəfhika,fikadʒel,fikadʒel,,fɾiːz,,,,ʒelɐ,ʒela,ʒela,ʒelɐ,ʒela,,,,,,,fɾis,,ela,,,kõʒele,fɾedi,kõʒle,ʒele,kõzele,glase,glase,glasi,,
fruit,fɾujt,fɾut,fuɾt,fɾʋiita,fɾutɛ,fruta,fɾuta,fɾuta,fɾutɐ,fɾutɐ,fɾutɐ,fɾuta,fɾuta,fluta,fulutu,futa,,fɾutɐ,fruta,fɾuta,fɾuta,pɾuta,pɾutas,pɾuta,fwi,fɾi,fʁi,fwi,fɣi,fwi,fwi,fwi,vaʀãg,fɣi
full,itʃid,intʃid,ʃej,intʃidu,intʃid,tʃew,intʃidu,intʃi,tʃew,tʃew,tʃew,ʃeju,tʃew,ʃa,ʃia,ʃadu,sia,ĩtʃɨ,ɟiɲci,jen,ɲiɾilo,ljenu,jenu,jenu,plɛ̃,plẽ,plẽ,,plẽ,plɛ̃,plɛ̃,plɛ̃,plɛ̃,plɛ̃
give,da,da,da,daa,da,da,da̹,da,dɐ,da,da,dɐ,da,da,da,da,da,da,da,duna,nda,dali,dali,dali,baj,dõne,ba,ba,done,ba,ba,baj,done,done
good,,bõ,bõ,boom,bɔ̃,boŋ,boŋ,boŋ,bõ,bõ,bõ,bõ,bõ,bõ,bɔ̃,bõ,bo,bõŋ,bõ,bõ,bjen,bwenu,bwenu,bwenu,bɔ̃,bõ,bõ,bõ,bon,bɔ̃,bɔ̃,bɔ̃,bɔ̃,bɔ̃
grass,pal,paʎ,ɛɾʋ,ɛɛɾʋa,gɾasə,ɛbra,,eɾba,padʒɐ,mɔt,eɾvɐ,eɾvɐ,eɾvɐ,alibɐ,alba,aribɐ,iku,paʎɐ,paɟa,jeɾba,,sakati,sakati,sakati,hadʒe,lɛɾb,ʁadʒe,zɛb,leɣb,zɛb,zeb,zɛb,,lɛɛb
green,ʋɛɾd,ʋɛɾd,ʋeɾd,ʋeeɾdi,ʋɛɾdi,bedri,veɾde,beɾdi,beɾdi,veɾd,veɾd,beɾdi,veɾdi,vede,veedʒi,vede,vedi,veɾdɪ,berdu,bɛɾdɛ,bitʃe,beɾdi,beɾdi,beɻdi,vjat,vɛɾ,vɛʁ,vɛt,veɣ,vɛ,vɛ,vɛt,vɛɛ,vɛɛ
guts,tɾĩp,tɾip,tɾip,tɾipa,tɾipə,,tɾipa,tɾipa,tɾipɐ,tɾipɐ,tɾipɐ,tɾipɐ,tɾipɐ,tlipa,tʃiipa,tʃipa,malɐ,tɾipɐ,,tɾipa,tɾipa,tripa,,tɾipa,thip,letɾip,tʁip,tɣip,tɣip,zãtɣaj,zãtɣaj,bojo,tʀip,zɛ̃testɛ̃
hair,kabel,kabil,kabel,kabeel,kabeli,kabelu,kabelu,kabelu,kɐbelu,kebel,kɐbel,kɐbel,kabelu,kabelu,xabɛlu,kabɛlu,kabelu,kabelʊ,kabelu,kabej,kabew,pelu,pelu,pelu,ʃive,ʃve,ʃive,ʃive,seve,ʃive,ʃive,ʃive,seve,seve
hand,mãw,mãw,mãw,mam,mɔ̃,maŋ,ma̜ŋ,maw,mo,mõ,mõ,mõ,mõ,mõ,omã,umã,mo,mõ,moŋ,mã,mano,manu,manu,manu,lame,lamẽ,lamẽ,mẽ,lamẽ,lãmɛ̃,lãmɛ̃,lãmɛ̃,mɛ̃,lamɛ̃
he,el,il,el,eli,eli,eli,ele,eli,e,el,el,e,e,ele,eli,eli,ele,ɛɫ,ɟel,e,e,eli,eli,eli,li,li,i,li,li,i,i,li,li,i
head,kabes,kabes,kabes,kaʋasa,kabesə,kabesa,kabesa,kabesa,kɐbɛsɐ,kebɛsa,kɐbɛsɐ,kɐbɛsɐ,kabɛsa,kabesɐ,xabɛsa,kabɛsɛ,nte,kabesɐ,kabisa,kabes,kabesa,kabesa,kabesa,kabesa,tɛt,latɛt,tɛt,tɛt,latet,tɛt,tɛt,tɛt,latɛt,latet
hear,oʋi,uʋi,uʋi,oʋii,oi,ubi,uvi,obi,obi,uvi,uvi,obi,ubi,tẽde,tẽde,tẽde,ẽde,obi,sukta,tende,kutʃa,oi,uwi,oi,tãnde,ekute,tãde,tãde,tãde,tãn,tãn,tãn,ãtã,tã
heart,koɾsãw,kuɾəsãw,kuɾəsãw,koɾsam,koɾso,korsaŋ,korasa̜ŋ,koɾasaŋ,koɾɐsõ,kɾosõ,koɾasõ,kuɾɐsɐ̃,koɾasõ,klɔsɔ̃,kuusã,kosã,kɔθɔ,kuɾɐsõ,kɔɾsɔŋ,kuɾasõ,kolaso,kurason,kurason,kurason,tʃɔ,kɛɾ,tʃɔ,kɛ,lekeɣ,cɛ,cɛ,tʃɛ,kɛɛ,lekɛɛ
heavy,pedzad,pezad,pezad,pezaadu,pezad,pezadu,,fedʒidu,pisadu,pezɔd,pezɔd,pizadu,pizadu,,pizadu,kwadu,,pizadu,pisadu,pisa,,pisaw,pisaw,piskaw,pezã,luɾ,lu,lu,luɣ,lu,lu,lu,,luu
here,aki,aqui,aki,akii,ɛki,naki,aki,aki,li,ej,li,li,li,nai,jaj,ka,,li,li,aki,aki,aki,aki,aki,isila,isit,isi,isit,isi,isi,isia,isi,isi,isi
hit,dal,bate,bate,daai,,dali,ziŋgwa̹,fajtoka,kõku,kũŋki,dɐ,bate,bate,bate,bate,bate,bate,sutɐ,suta,bati,goppea,gulpja,gulpja,piga,bat,fɾape,bat,fɣape,bate,baku,baku,fwape,don,fɣape
hold,tuma,tuma,tuma,toma,tama,sigura,pega̹,,suguɾɐ,pɲa,sgeɾa,pɐɲa,pega,pala,sugula,segwa,θegwa,suguɾa,,tene,pega,gara,tjeni,agara,tʃẽmbe,tʃẽ,tjen,kẽbe,tini,cɛ̃be,cɛ̃be,tʃɛ̃be,tjɛ̃bo,tenii
horn,ʃiŋ,dãntʃ,tʃif,koɾnu,,,,koɾnu,koɾnu,tʃif,ʃifɾ,koɾu,,kɔnɛta,xõ,ʃifi,kɔkɔ,tʃifɾi,cifur,katʃu,katʃo,kweɾnu,kweɾnu,tuɾutut,kɔn,kɔɾn,,,,kɔ̃n,kɔ̃n,kɔn,kɔɔn,kɔɔn
how,kilɛ,kilaj,kom,kilaj,kɛlɛj,kaj,komu,kan,mɔdi,kmenɛrɐ,mɐnɛɾɐ,simɐ,mɔdɐki,kumɐ,koma,kumɐ,kumɐ,kuma,kuma,kon,kumo,kilaja,kamo,pakimodu,kumã,komã,kumã,kõmã,kumã,kumã,kimãnjɛ,kumã,komã,kɔ̃mã
hunt,kasadbiɾka,vajkasad,,kasaɾia,,baiponta,,,kasɐ,kɐsa,kasa,kasa,kasa,kasa,xasa,kasa,kaθa,montia,,jag,,buska,saka,pahaɾea,alelaʃas,ʃase,ʃase,ʃase,lasas,ʃase,ʃase,alelaʃas,,sase
husband,maɾid,maɾid,ɔm,maɾiidu,maɾidə,maridu,maɾidu,maɾidu,mɐɾidu,meɾid,meɾid,maɾidu,maɾidu,malidu,mɛɛdu,maadu,ɔmɛ,spozu,womi,esposo,mailo,maɾidu,maɾidu,maɾidu,ɔm,maɾi,maʁi,maɣi,maɣi,mawi,nɔ̃mmaje,mawi,maʀi,maɣi
I,jo,jo,jo,eeʋ,jo,jo,yow,jo,m,mĩ,ũ,mi,n,ami,amu,ami,ami,ami,mi,mi,i,jo,jo,jo,mo,mo,mo,mwẽ,mwa,mwɛ̃,mwɛ̃,mwɛ̃,mwɛ̃,mo
